"['Stock: CTXS', 'Net: 31.61', 'Percent Gain: -100.0%']"
"['Stock: K', 'Net: -3.19', 'Percent Gain: -100.0%']"
"['Stock: XYL', 'Net: 8.82', 'Percent Gain: 9.49%']"
"['Stock: TSLA', 'Net: 654.13', 'Percent Gain: 1269.17%']"
"['Stock: LEN', 'Net: 1.91', 'Percent Gain: 2.57%']"
"['Stock: RRC', 'Net: 1.67', 'Percent Gain: -100.0%']"
"['Stock: WEN', 'Net: 0.96', 'Percent Gain: 4.58%']"
"['Stock: NCLH', 'Net: -1.03', 'Percent Gain: -3.89%']"
"['Stock: MAR', 'Net: -17.05', 'Percent Gain: -11.45%']"
"['Stock: ROST', 'Net: -5.5', 'Percent Gain: -4.29%']"
"['Stock: MMM', 'Net: 6.36', 'Percent Gain: 3.78%']"
"['Stock: PAYX', 'Net: 16.15', 'Percent Gain: 20.97%']"
"['Stock: MCHP', 'Net: 37.22', 'Percent Gain: 36.89%']"
"['Stock: AMG', 'Net: -9.01', 'Percent Gain: -8.14%']"
"['Stock: SLG', 'Net: 4.03', 'Percent Gain: 7.25%']"
"['Stock: PNC', 'Net: 18.67', 'Percent Gain: 14.33%']"
"['Stock: NDAQ', 'Net: 26.87', 'Percent Gain: 25.38%']"
"['Stock: SYY', 'Net: 14.85', 'Percent Gain: 25.0%']"
"['Stock: PVH', 'Net: 29.19', 'Percent Gain: 45.12%']"
"['Stock: NI', 'Net: -9.49', 'Percent Gain: -100.0%']"
"['Stock: AXP', 'Net: -24.41', 'Percent Gain: -16.8%']"
"['Stock: RMD', 'Net: 43.26', 'Percent Gain: 25.55%']"
"['Stock: OKE', 'Net: 7.01', 'Percent Gain: 22.35%']"
"['Stock: ANSS', 'Net: 102.04', 'Percent Gain: 38.98%']"
"['Stock: SRE', 'Net: -10.04', 'Percent Gain: -7.3%']"
"['Stock: UAL', 'Net: -4.38', 'Percent Gain: -9.2%']"
"['Stock: PFE', 'Net: -7.86', 'Percent Gain: -17.6%']"
"['Stock: AJG', 'Net: 30.52', 'Percent Gain: 32.75%']"
"['Stock: SYK', 'Net: 15.45', 'Percent Gain: 6.73%']"
"['Stock: VRTX', 'Net: 44.53', 'Percent Gain: -100.0%']"
"['Stock: PG', 'Net: 23.06', 'Percent Gain: 19.87%']"
"['Stock: BAX', 'Net: -20.74', 'Percent Gain: -100.0%']"
"['Stock: TMO', 'Net: 141.5', 'Percent Gain: 43.64%']"
"['Stock: WU', 'Net: -1.49', 'Percent Gain: -6.36%']"
"['Stock: BHF', 'Net: -30.98', 'Percent Gain: -46.11%']"
"['Stock: ULTA', 'Net: -73.65', 'Percent Gain: -20.41%']"
"['Stock: ZION', 'Net: 0.71', 'Percent Gain: 1.66%']"
"['Stock: CRM', 'Net: 20.24', 'Percent Gain: -100.0%']"
"['Stock: KMX', 'Net: 1.2', 'Percent Gain: 1.29%']"
"['Stock: VAR', 'Net: 21.64', 'Percent Gain: 14.11%']"
"['Stock: AES', 'Net: 5.57', 'Percent Gain: 31.07%']"
"['Stock: CHTR', 'Net: 163.05', 'Percent Gain: 32.71%']"
"['Stock: WAT', 'Net: -28.05', 'Percent Gain: -10.18%']"
"['Stock: SO', 'Net: 3.84', 'Percent Gain: 6.67%']"
"['Stock: ALGN', 'Net: 247.03', 'Percent Gain: 85.97%']"
"['Stock: CTXS', 'Net: 31.61', 'Percent Gain: -100.0%']"
"['Stock: AAL', 'Net: -9.59', 'Percent Gain: -37.82%']"
"['Stock: XLNX', 'Net: 33.23', 'Percent Gain: 30.62%']"
"['Stock: TPR', 'Net: 8.31', 'Percent Gain: 36.5%']"
"['Stock: ED', 'Net: -9.97', 'Percent Gain: -100.0%']"
"['Stock: ATVI', 'Net: 30.25', 'Percent Gain: 48.32%']"
"['Stock: TDG', 'Net: 182.74', 'Percent Gain: 41.9%']"
"['Stock: AKAM', 'Net: -8.01', 'Percent Gain: -100.0%']"
"['Stock: UPS', 'Net: 55.25', 'Percent Gain: 48.83%']"
"['Stock: DHR', 'Net: 54.82', 'Percent Gain: 32.76%']"
"['Stock: ADM', 'Net: 4.8', 'Percent Gain: 10.52%']"
"['Stock: GOOGL', 'Net: 303.31', 'Percent Gain: 20.93%']"
"['Stock: V', 'Net: -1.29', 'Percent Gain: -0.59%']"
"['Stock: AMP', 'Net: 34.19', 'Percent Gain: 21.35%']"
"['Stock: BLL', 'Net: 12.94', 'Percent Gain: 16.13%']"
"['Stock: DG', 'Net: 41.17', 'Percent Gain: 24.34%']"
"['Stock: WY', 'Net: 12.07', 'Percent Gain: 56.24%']"
"['Stock: EBAY', 'Net: 3.03', 'Percent Gain: 6.42%']"
"['Stock: APA', 'Net: -14.8', 'Percent Gain: -51.05%']"
"['Stock: MLM', 'Net: 62.8', 'Percent Gain: 28.39%']"
"['Stock: BWA', 'Net: -3.22', 'Percent Gain: -7.69%']"
"['Stock: ADP', 'Net: 8.95', 'Percent Gain: 5.35%']"
"['Stock: ESS', 'Net: -31.6', 'Percent Gain: -11.75%']"
"['Stock: CFG', 'Net: 0.59', 'Percent Gain: 1.68%']"
"['Stock: COF', 'Net: 26.38', 'Percent Gain: 36.4%']"
"['Stock: BBY', 'Net: 25.99', 'Percent Gain: -100.0%']"
"['Stock: CERN', 'Net: 1.06', 'Percent Gain: 1.37%']"
"['Stock: FRT', 'Net: -22.21', 'Percent Gain: -20.69%']"
"['Stock: CHRW', 'Net: -2.93', 'Percent Gain: -3.03%']"
"['Stock: FBHS', 'Net: 19.13', 'Percent Gain: 28.73%']"
"['Stock: CTAS', 'Net: 104.62', 'Percent Gain: 42.04%']"
"['Stock: BK', 'Net: -1.93', 'Percent Gain: -4.35%']"
"['Stock: GPN', 'Net: -21.59', 'Percent Gain: -9.11%']"
"['Stock: CAG', 'Net: 2.46', 'Percent Gain: 7.28%']"
"['Stock: BSX', 'Net: -5.51', 'Percent Gain: -100.0%']"
"['Stock: HSY', 'Net: -10.44', 'Percent Gain: -6.41%']"
"['Stock: CMI', 'Net: 70.76', 'Percent Gain: 45.26%']"
"['Stock: CB', 'Net: -1.11', 'Percent Gain: -0.72%']"
"['Stock: CBOE', 'Net: -0.31', 'Percent Gain: -0.33%']"
"['Stock: IDXX', 'Net: 201.41', 'Percent Gain: 67.48%']"
"['Stock: DISCA', 'Net: 3.16', 'Percent Gain: 11.73%']"
"['Stock: KO', 'Net: 7.34', 'Percent Gain: 15.45%']"
"['Stock: SCHW', 'Net: 8.59', 'Percent Gain: 19.33%']"
"['Stock: ISRG', 'Net: 215.41', 'Percent Gain: 35.74%']"
"['Stock: DXC', 'Net: 1.11', 'Percent Gain: 4.5%']"
"['Stock: C', 'Net: 3.8', 'Percent Gain: 6.57%']"
